date,cme_close,cme_usd_per_lb,shfe_close,cme_usd_per_ton,shfe_usd_per_ton,spread,spread_ratio
2021-11-29,435.5,4.355,70230,9601.1201,9686.896551724138,-85.77645172413759,-0.8854894987896875
2021-11-30,431.05,4.3105,69450,9503.01451,9579.310344827587,-76.29583482758608,-0.7964647984161253
2021-12-01,422.8,4.228,69650,9321.13336,9606.896551724138,-285.76319172413787,-2.9745630150753763
2021-12-02,429.0,4.29,68650,9457.8198,9468.965517241379,-11.145717241379316,-0.11770786598689009
2021-12-03,426.9,4.269,69460,9411.52278,9580.689655172413,-169.1668751724137,-1.7657066585084935
2021-12-06,433.4,4.334,69080,9554.823079999998,9528.275862068966,26.54721793103272,0.2786151273885165
2021-12-07,434.0,4.34,69420,9568.050799999999,9575.172413793103,-7.1216137931041885,-0.07437582829156636
2021-12-08,438.0,4.38,69570,9656.2356,9595.862068965518,60.37353103448186,0.6291621388529444
2021-12-09,431.5,4.315,69710,9512.935300000001,9615.172413793103,-102.23711379310225,-1.0632894491464515
2021-12-10,429.4,4.294,69530,9466.63828,9590.344827586207,-123.70654758620731,-1.2899071911405193
2021-12-13,429.25,4.2925,69570,9463.33135,9595.862068965518,-132.53071896551774,-1.3811236344688853
2021-12-14,426.7,4.2669999999999995,68910,9407.113539999998,9504.827586206897,-97.71404620689827,-1.0280464881729974
2021-12-15,424.5,4.245,68000,9358.6119,9379.310344827587,-20.698444827587082,-0.22068194852942108
2021-12-16,429.9,4.2989999999999995,68590,9477.661379999998,9460.689655172413,16.971724827584694,0.17939204694560293
2021-12-17,428.5,4.285,69370,9446.796699999999,9568.275862068966,-121.47916206896662,-1.269603466916546
2021-12-20,430.35,4.3035000000000005,68630,9487.582170000001,9466.206896551725,21.375273448276857,0.2258061088445391
2021-12-21,434.95,4.3495,69230,9588.99469,9548.965517241379,40.029172758620916,0.4191990502672276
2021-12-22,438.8,4.388,69690,9673.87256,9612.413793103447,61.45876689655233,0.639368718610998
2021-12-23,440.5,4.405,70180,9711.3511,9680.0,31.35109999999986,0.3238749999999986
2021-12-24,440.35,4.4035,69750,9708.04417,9620.689655172413,87.35451482758617,0.9079859964157703
2021-12-27,446.5,4.465,69530,9843.628299999998,9590.344827586207,253.28347241379197,2.641025708327329
2021-12-28,443.45,4.4345,70470,9776.38739,9720.0,56.38738999999987,0.5801171810699575
2021-12-29,441.5,4.415,70200,9733.397299999999,9682.758620689656,50.63867931034292,0.5229778133902937
2021-12-30,438.8,4.388,69950,9673.87256,9648.275862068966,25.596697931034214,0.2652981558255869
2021-12-31,445.75,4.4575,70380,9827.093649999999,9707.586206896553,119.50744310344635,1.2310726946575532
2022-01-04,447.0,4.47,69730,9854.651399999999,9617.931034482759,236.72036551723977,2.461239997131777
2022-01-05,439.1,4.391,70110,9680.48642,9670.344827586207,10.14159241379275,0.10487312081015182
2022-01-06,435.4,4.354,69490,9598.91548,9584.827586206897,14.087893793102921,0.14698119153834535
2022-01-07,440.0,4.4,69520,9700.328,9588.965517241379,111.3624827586209,1.1613607594936732
2022-01-10,437.25,4.3725,69780,9639.700949999999,9624.827586206897,14.873363793101817,0.15453122312981968
2022-01-11,443.2,4.4319999999999995,69720,9770.875839999999,9616.551724137931,154.32411586206763,1.6047760183591369
2022-01-12,455.65,4.5565,71170,10045.35103,9816.551724137931,228.79930586206865,2.330750270479131
2022-01-13,451.1,4.511,71440,9945.04082,9853.793103448275,91.2477165517248,0.9260161604143404
2022-01-14,442.85,4.4285000000000005,71460,9763.159670000001,9856.551724137931,-93.39205413793024,-0.9475124440246211
2022-01-17,443.05,4.4305,70170,9767.56891,9678.620689655172,88.94822034482786,0.9190175252957132
2022-01-18,440.25,4.4025,70100,9705.839549999999,9668.965517241379,36.87403275862016,0.3813648181169703
2022-01-19,445.0,4.45,70020,9810.559,9657.931034482759,152.62796551724023,1.5803381176806506
2022-01-20,453.0,4.53,71180,9986.9286,9817.931034482759,168.99756551724022,1.7213154678280298
2022-01-21,451.7,4.5169999999999995,71290,9958.26854,9833.103448275862,125.1650917241368,1.2728950974891173
2022-01-24,445.2,4.452,70480,9814.96824,9721.379310344828,93.58892965517225,0.9627124574347315
2022-01-25,445.8,4.458,69570,9828.19596,9595.862068965518,232.33389103448098,2.4211883139283987
2022-01-26,445.45,4.4544999999999995,70730,9820.479789999998,9755.862068965518,64.61772103447947,0.6623476283047874
2022-01-27,441.6,4.416,69780,9735.601920000001,9624.827586206897,110.77433379310423,1.1509227858985465
2022-01-28,432.8,4.328,70290,9541.59536,9695.172413793103,-153.57705379310391,-1.5840569640062647
